st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10;st;en;duration;height;Rmax;Rmax10
2013-07-30 06:42:00;2013-07-30 06:45:00;3;0,1;3,2;0,3;NA;NA;0;0;0;0;2013-07-30 06:42:00;2013-07-30 06:45:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-07-30 12:29:00;2013-07-30 12:32:00;3;0,1;3,1;0,3;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-07-30 12:29:00;2013-07-30 12:32:00;3;0,1;6,1;0,6
2013-07-30 13:35:00;2013-07-30 13:50:00;15;0,2;3,2;0,6;NA;NA;0;0;0;0;2013-07-30 13:35:00;2013-07-30 13:41:00;6;0,2;6,4;1,3;2013-07-30 13:47:00;2013-07-30 13:50:00;3;0,1;6,1;0,6
2013-07-30 15:37:00;2013-07-30 15:40:00;3;0,1;3,1;0,3;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-07-30 15:37:00;2013-07-30 15:40:00;3;0,1;6,1;0,6
2013-08-04 03:02:00;2013-08-04 05:56:00;174;20,1;61,4;45,6;NA;NA;0;0;0;0;2013-08-04 03:02:00;2013-08-04 05:47:00;165;21,9;64,3;51,1;2013-08-04 03:04:00;2013-08-04 05:56:00;172;18,4;58,6;40,7
2013-08-04 16:57:00;2013-08-04 19:09:00;132;7,3;15,5;11,4;NA;NA;0;0;0;0;2013-08-04 16:57:00;2013-08-04 19:09:00;132;7,9;25;14,2;2013-08-04 16:59:00;2013-08-04 18:58:00;119;6,7;12,2;9,1
2013-08-05 01:23:00;2013-08-05 01:26:00;3;0,1;3,1;0,3;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-08-05 01:23:00;2013-08-05 01:26:00;3;0,1;6,1;0,6
2013-08-05 02:54:00;2013-08-05 02:57:00;3;0,1;3,2;0,3;NA;NA;0;0;0;0;2013-08-05 02:54:00;2013-08-05 02:57:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-08-05 04:55:00;2013-08-05 05:17:00;22;0,1;3,2;0,3;NA;NA;0;0;0;0;2013-08-05 05:14:00;2013-08-05 05:17:00;3;0,1;6,4;0,6;2013-08-05 04:55:00;2013-08-05 04:58:00;3;0,1;6,1;0,6
2013-08-06 22:26:00;2013-08-07 02:29:00;243;9,1;15,8;11,9;NA;NA;0;0;0;0;2013-08-06 22:26:00;2013-08-07 02:27:00;241;8,2;12,5;7,3;2013-08-06 22:30:00;2013-08-07 02:29:00;239;10,1;25,6;20,2
2013-08-07 08:55:00;2013-08-07 09:08:00;13;0,6;22,4;3,3;2013-08-07 08:55:00;2013-08-07 08:59:00;4;NA;NA;NA;NA;NA;0;0;0;0;2013-08-07 09:05:00;2013-08-07 09:08:00;3;0,1;6,1;0,6
2013-08-09 13:38:00;2013-08-09 19:54:00;376;9,3;36,1;13,8;2013-08-09 13:38:00;2013-08-09 19:44:00;366;9,9;50,6;17,6;2013-08-09 13:38:00;2013-08-09 18:56:00;318;9,3;50,8;12,5;2013-08-09 13:38:00;2013-08-09 19:54:00;376;8,6;38,9;11,3
2013-08-10 10:55:00;2013-08-10 10:58:00;3;0;2;0,2;2013-08-10 10:55:00;2013-08-10 10:58:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-08-10 19:40:00;2013-08-10 21:05:00;85;4;10,1;6,1;2013-08-10 19:40:00;2013-08-10 20:49:00;69;3,3;6,1;4,8;2013-08-10 19:42:00;2013-08-10 20:53:00;71;4,5;12,4;7,9;2013-08-10 19:43:00;2013-08-10 21:05:00;82;4,3;12,2;7,3
2013-08-11 00:18:00;2013-08-11 00:21:00;3;0;2;0,2;2013-08-11 00:18:00;2013-08-11 00:21:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-08-11 03:30:00;2013-08-11 03:33:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-08-11 03:30:00;2013-08-11 03:33:00;3;0,1;6,1;0,6
2013-08-11 05:29:00;2013-08-11 05:32:00;3;0;2;0,2;2013-08-11 05:29:00;2013-08-11 05:32:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-08-11 10:58:00;2013-08-11 11:01:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-08-11 10:58:00;2013-08-11 11:01:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-08-13 12:21:00;2013-08-13 12:24:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-08-13 12:21:00;2013-08-13 12:24:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-08-19 07:52:00;2013-08-19 09:38:00;106;0,4;4,1;1,5;2013-08-19 07:52:00;2013-08-19 09:38:00;106;0,3;5,9;0,6;2013-08-19 08:38:00;2013-08-19 09:20:00;42;0,4;6,4;1,9;2013-08-19 08:39:00;2013-08-19 09:38:00;59;0,4;6,1;1,8
2013-08-19 13:41:00;2013-08-19 16:27:00;166;7,2;29,7;9,8;2013-08-19 13:43:00;2013-08-19 16:20:00;157;8,1;57,7;14,4;2013-08-19 13:41:00;2013-08-19 16:27:00;166;6,9;24,7;11,1;2013-08-19 13:43:00;2013-08-19 16:19:00;156;6,6;25,4;9,1
2013-08-19 18:28:00;2013-08-19 19:57:00;89;1,5;6,1;3,4;2013-08-19 18:37:00;2013-08-19 19:42:00;65;1,3;6;3;2013-08-19 18:28:00;2013-08-19 19:36:00;68;1,8;6,4;4,9;2013-08-19 18:29:00;2013-08-19 19:57:00;88;1,5;6,1;3,6
2013-08-20 09:15:00;2013-08-20 09:18:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-08-20 09:15:00;2013-08-20 09:18:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-08-20 10:27:00;2013-08-20 11:10:00;43;0,3;4,1;1,2;2013-08-20 10:27:00;2013-08-20 10:39:00;12;0,3;6;1,8;2013-08-20 10:33:00;2013-08-20 11:10:00;37;0,4;6,4;1,9;2013-08-20 10:35:00;2013-08-20 10:38:00;3;0,1;6,1;0,6
2013-08-20 17:20:00;2013-08-20 17:49:00;29;1,6;10,3;5,9;2013-08-20 17:20:00;2013-08-20 17:47:00;27;1,5;12,5;5,5;2013-08-20 17:27:00;2013-08-20 17:46:00;19;1,8;24,9;8,6;2013-08-20 17:26:00;2013-08-20 17:49:00;23;1,3;12,2;5,5
2013-08-21 00:17:00;2013-08-21 00:20:00;3;0;2;0,2;2013-08-21 00:17:00;2013-08-21 00:20:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-08-21 01:32:00;2013-08-21 01:35:00;3;0;2,1;0,2;NA;NA;0;0;0;0;2013-08-21 01:32:00;2013-08-21 01:35:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-08-21 03:11:00;2013-08-21 03:14:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-08-21 03:11:00;2013-08-21 03:14:00;3;0,1;6,1;0,6
2013-08-21 05:03:00;2013-08-21 06:02:00;59;0,1;2,1;0,2;2013-08-21 05:59:00;2013-08-21 06:02:00;3;0,1;5,9;0,6;2013-08-21 05:03:00;2013-08-21 05:06:00;3;0,1;6,4;0,6;NA;NA;0;0;0;0
2013-08-21 09:58:00;2013-08-21 10:01:00;3;0;2;0,2;NA;NA;0;0;0;0;NA;NA;0;0;0;0;2013-08-21 09:58:00;2013-08-21 10:01:00;3;0,1;6,1;0,6
2013-08-25 10:02:00;2013-08-25 10:09:00;7;0,2;2,1;1;2013-08-25 10:03:00;2013-08-25 10:09:00;6;0,4;6,2;2,4;NA;NA;0;0;0;0;2013-08-25 10:02:00;2013-08-25 10:05:00;3;0,1;6,1;0,6
2013-08-25 12:50:00;2013-08-26 04:29:00;939;16;6,2;3;2013-08-25 12:52:00;2013-08-26 04:29:00;937;15,3;6,2;3;2013-08-25 13:20:00;2013-08-26 04:10:00;890;18,2;12,4;3,7;2013-08-25 12:50:00;2013-08-26 03:36:00;886;14,7;6,1;3
2013-08-26 05:48:00;2013-08-26 06:19:00;31;0,1;2,1;0,4;2013-08-26 06:08:00;2013-08-26 06:11:00;3;0,1;5,9;0,6;2013-08-26 06:16:00;2013-08-26 06:19:00;3;0,1;6,4;0,6;2013-08-26 05:48:00;2013-08-26 05:51:00;3;0,1;6,1;0,6
2013-08-27 17:34:00;2013-08-27 17:37:00;3;0;2;0,2;2013-08-27 17:34:00;2013-08-27 17:37:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
2013-08-27 18:41:00;2013-08-28 02:04:00;443;4,1;6,2;3;2013-08-27 18:56:00;2013-08-28 02:04:00;428;3,6;6;3,6;2013-08-27 18:41:00;2013-08-28 00:57:00;376;3,6;6,4;4,3;2013-08-27 18:43:00;2013-08-28 01:41:00;418;5,1;6,1;4,2
2013-08-29 07:42:00;2013-08-29 07:45:00;3;0;2;0,2;2013-08-29 07:42:00;2013-08-29 07:45:00;3;0,1;5,9;0,6;NA;NA;0;0;0;0;NA;NA;0;0;0;0
